images,labels,scores,dscores,x,y,count_1,count_2,count_3,count_4,count_5,count_6,species
2508cb08-62c2-453b-83c2-f81db1b8fc9e.jpg,1,0.6692088842391968,0.10871666669845581,2814.0,10.0,1,0,13,0,0,0,topi
2508cb08-62c2-453b-83c2-f81db1b8fc9e.jpg,3,0.9581186771392822,0.27299487590789795,5729.0,384.0,1,0,13,0,0,0,kob
2508cb08-62c2-453b-83c2-f81db1b8fc9e.jpg,3,0.9716125130653381,0.29514309763908386,5153.0,648.0,1,0,13,0,0,0,kob
2508cb08-62c2-453b-83c2-f81db1b8fc9e.jpg,3,0.9935033917427063,0.21017448604106903,4615.0,690.0,1,0,13,0,0,0,kob
2508cb08-62c2-453b-83c2-f81db1b8fc9e.jpg,3,0.9871119856834412,0.2327921986579895,4975.0,716.0,1,0,13,0,0,0,kob
2508cb08-62c2-453b-83c2-f81db1b8fc9e.jpg,3,0.9917235970497131,0.24438165128231049,4994.0,743.0,1,0,13,0,0,0,kob
2508cb08-62c2-453b-83c2-f81db1b8fc9e.jpg,3,0.999803364276886,0.22761808335781097,4706.0,780.0,1,0,13,0,0,0,kob
2508cb08-62c2-453b-83c2-f81db1b8fc9e.jpg,3,0.9959073066711426,0.24768418073654175,3811.0,983.0,1,0,13,0,0,0,kob
2508cb08-62c2-453b-83c2-f81db1b8fc9e.jpg,3,0.996756374835968,0.21006327867507935,1862.0,1835.0,1,0,13,0,0,0,kob
2508cb08-62c2-453b-83c2-f81db1b8fc9e.jpg,3,0.9999948740005493,0.23246058821678162,1659.0,2046.0,1,0,13,0,0,0,kob
2508cb08-62c2-453b-83c2-f81db1b8fc9e.jpg,3,0.9999890327453613,0.2383534163236618,1446.0,2140.0,1,0,13,0,0,0,kob
2508cb08-62c2-453b-83c2-f81db1b8fc9e.jpg,3,0.9990959167480469,0.28451648354530334,1038.0,2391.0,1,0,13,0,0,0,kob
2508cb08-62c2-453b-83c2-f81db1b8fc9e.jpg,3,0.9996263980865479,0.2843613922595978,928.0,2445.0,1,0,13,0,0,0,kob
2508cb08-62c2-453b-83c2-f81db1b8fc9e.jpg,3,0.9965937733650208,0.25685709714889526,204.0,2783.0,1,0,13,0,0,0,kob
